trail ID,method,parameters,metrics,performance
0,mlp,_scale = True; activation = logistic; alpha = 0.00799991890745; batch_size = auto; hidden_layer_sizes[0] = 56; hidden_layer_sizes[1] = 24; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.748 +- 0.164
1,mlp,_scale = True; activation = logistic; alpha = 0.00849143103282; batch_size = auto; hidden_layer_sizes[0] = 99; hidden_layer_sizes[1] = 62; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.735 +- 0.184
2,mlp,_scale = True; activation = logistic; alpha = 0.00177045733688; batch_size = auto; hidden_layer_sizes[0] = 55; hidden_layer_sizes[1] = 29; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.691 +- 0.157
3,mlp,_scale = True; activation = logistic; alpha = 0.00723514242738; batch_size = auto; hidden_layer_sizes[0] = 57; hidden_layer_sizes[1] = 21; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.760 +- 0.171
4,mlp,_scale = True; activation = identity; alpha = 0.00547161489348; batch_size = auto; hidden_layer_sizes[0] = 209; learning_rate = invscaling; learning_rate_init = 0.650260689975; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.682 +- 0.105
5,mlp,_scale = True; activation = identity; alpha = 0.00899195208914; batch_size = auto; hidden_layer_sizes[0] = 64; learning_rate = invscaling; learning_rate_init = 0.731561837323; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.609 +- 0.387
6,mlp,_scale = True; activation = identity; alpha = 0.00234238712992; batch_size = auto; hidden_layer_sizes[0] = 209; learning_rate = invscaling; learning_rate_init = 0.465202580375; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.736 +- 0.259
7,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 15; weights = distance,f1 and cv,0.780 +- 0.278
8,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 8; weights = distance,f1 and cv,0.674 +- 0.146
9,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 15; weights = distance,f1 and cv,0.589 +- 0.305
10,mlp,_scale = True; activation = tanh; alpha = 0.00224178522662; batch_size = auto; hidden_layer_sizes[0] = 239; hidden_layer_sizes[1] = 218; learning_rate = invscaling; learning_rate_init = 0.344309618261; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.791 +- 0.079
11,mlp,_scale = True; activation = tanh; alpha = 0.00427765774483; batch_size = auto; hidden_layer_sizes[0] = 246; hidden_layer_sizes[1] = 184; learning_rate = invscaling; learning_rate_init = 0.0273710171825; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.735 +- 0.498
12,mlp,_scale = True; activation = tanh; alpha = 0.00526485272616; batch_size = auto; hidden_layer_sizes[0] = 237; hidden_layer_sizes[1] = 218; learning_rate = invscaling; learning_rate_init = 0.879873731867; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.755 +- 0.121
13,mlp,_scale = True; activation = tanh; alpha = 0.000634821692555; batch_size = auto; hidden_layer_sizes[0] = 149; hidden_layer_sizes[1] = 6; learning_rate = adaptive; learning_rate_init = 0.277926847527; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.785 +- 0.423
14,mlp,_scale = True; activation = tanh; alpha = 0.00660553229005; batch_size = auto; hidden_layer_sizes[0] = 165; hidden_layer_sizes[1] = 112; learning_rate = adaptive; learning_rate_init = 0.867735422342; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.712 +- 0.130
15,mlp,_scale = True; activation = tanh; alpha = 0.00371911388751; batch_size = auto; hidden_layer_sizes[0] = 148; hidden_layer_sizes[1] = 4; learning_rate = adaptive; learning_rate_init = 0.122456112659; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.707 +- 0.166
16,mlp,_scale = True; activation = relu; alpha = 0.00392350082244; batch_size = auto; beta_1 = 0.914223423245; beta_2 = 0.858754257734; hidden_layer_sizes[0] = 237; hidden_layer_sizes[1] = 229; hidden_layer_sizes[2] = 67; learning_rate_init = 0.175696655355; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.594 +- 0.620
17,mlp,_scale = True; activation = relu; alpha = 0.000295211950158; batch_size = auto; beta_1 = 0.917406288989; beta_2 = 0.860898038173; hidden_layer_sizes[0] = 39; hidden_layer_sizes[1] = 287; hidden_layer_sizes[2] = 51; learning_rate_init = 0.559862026703; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.213 +- 0.549
18,gp,alpha = 0.041501904705; kernel = rational_quadratic; length_scale = 14.3432879364,f1 and cv,0.712 +- 0.348
19,gp,alpha = 0.773879362873; kernel = rational_quadratic; length_scale = 0.0330209564233,f1 and cv,0.614 +- 0.267
20,mlp,_scale = True; activation = identity; alpha = 0.00562597823112; batch_size = auto; hidden_layer_sizes[0] = 33; hidden_layer_sizes[1] = 195; hidden_layer_sizes[2] = 98; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.575 +- 0.348
21,mlp,_scale = True; activation = identity; alpha = 0.00806297352457; batch_size = auto; hidden_layer_sizes[0] = 170; hidden_layer_sizes[1] = 114; hidden_layer_sizes[2] = 63; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.673 +- 0.171
22,mlp,_scale = True; activation = logistic; alpha = 0.00160751379346; batch_size = auto; hidden_layer_sizes[0] = 218; hidden_layer_sizes[1] = 27; hidden_layer_sizes[2] = 67; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.694 +- 0.109
23,mlp,_scale = True; activation = logistic; alpha = 0.00837727401381; batch_size = auto; hidden_layer_sizes[0] = 22; hidden_layer_sizes[1] = 245; hidden_layer_sizes[2] = 194; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.797 +- 0.311
24,mlp,_scale = True; activation = logistic; alpha = 0.00879886663304; batch_size = auto; hidden_layer_sizes[0] = 243; hidden_layer_sizes[1] = 221; hidden_layer_sizes[2] = 250; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.766 +- 0.186
25,knn,_scale = True; algorithm = ball_tree; leaf_size = 42; metric = euclidean; n_neighbors = 17; weights = uniform,f1 and cv,0.807 +- 0.284
26,knn,_scale = True; algorithm = ball_tree; leaf_size = 4; metric = euclidean; n_neighbors = 13; weights = uniform,f1 and cv,0.682 +- 0.382
27,mnb,_scale_minmax = True; alpha = 0.822696871672; class_prior = None; fit_prior = 0,f1 and cv,0.780 +- 0.234
28,mnb,_scale_minmax = True; alpha = 0.955370128562; class_prior = None; fit_prior = 0,f1 and cv,0.664 +- 0.437
29,dt,criterion = gini; max_depth = 7; max_features = 0.676782742212; min_samples_leaf = 2; min_samples_split = 2,f1 and cv,0.745 +- 0.277
