trail ID,method,parameters,metrics,performance
0,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 7; weights = distance,f1 and cv,0.686 +- 0.463
1,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 14; weights = distance,f1 and cv,0.857 +- 0.229
2,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 14; weights = distance,f1 and cv,0.816 +- 0.261
3,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 14; weights = distance,f1 and cv,0.661 +- 0.372
4,knn,_scale = True; algorithm = brute; metric = minkowski; n_neighbors = 13; p = 3; weights = distance,f1 and cv,0.619 +- 0.687
5,knn,_scale = True; algorithm = brute; metric = minkowski; n_neighbors = 13; p = 1; weights = distance,f1 and cv,0.719 +- 0.477
6,knn,_scale = True; algorithm = brute; metric = minkowski; n_neighbors = 13; p = 1; weights = distance,f1 and cv,0.721 +- 0.257
7,mlp,_scale = True; activation = logistic; alpha = 0.00530026476357; batch_size = auto; hidden_layer_sizes[0] = 195; hidden_layer_sizes[1] = 205; learning_rate = adaptive; learning_rate_init = 0.424197908329; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.533 +- 0.533
8,mlp,_scale = True; activation = logistic; alpha = 0.00798119444472; batch_size = auto; hidden_layer_sizes[0] = 216; hidden_layer_sizes[1] = 12; learning_rate = adaptive; learning_rate_init = 0.398794294569; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.895 +- 0.132
9,mlp,_scale = True; activation = logistic; alpha = 0.00379155634861; batch_size = auto; hidden_layer_sizes[0] = 172; hidden_layer_sizes[1] = 99; learning_rate = adaptive; learning_rate_init = 0.598925397734; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.431 +- 0.704
10,mlp,_scale = True; activation = identity; alpha = 0.00137991259211; batch_size = auto; hidden_layer_sizes[0] = 203; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.597 +- 0.515
11,mlp,_scale = True; activation = identity; alpha = 0.000932548884706; batch_size = auto; hidden_layer_sizes[0] = 155; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.641 +- 0.339
12,knn,_scale = True; algorithm = ball_tree; leaf_size = 11; metric = minkowski; n_neighbors = 1; p = 2; weights = distance,f1 and cv,0.737 +- 0.143
13,knn,_scale = True; algorithm = ball_tree; leaf_size = 24; metric = minkowski; n_neighbors = 11; p = 2; weights = distance,f1 and cv,0.790 +- 0.305
14,knn,_scale = True; algorithm = ball_tree; leaf_size = 24; metric = minkowski; n_neighbors = 11; p = 3; weights = distance,f1 and cv,0.658 +- 0.285
15,mlp,_scale = True; activation = logistic; alpha = 0.00689815348979; batch_size = auto; hidden_layer_sizes[0] = 57; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.728 +- 0.174
16,mlp,_scale = True; activation = logistic; alpha = 0.0039549442717; batch_size = auto; hidden_layer_sizes[0] = 259; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.753 +- 0.189
17,mlp,_scale = True; activation = logistic; alpha = 0.00281476836221; batch_size = auto; hidden_layer_sizes[0] = 259; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.696 +- 0.524
18,mlp,_scale = True; activation = relu; alpha = 0.0034843610708; batch_size = auto; hidden_layer_sizes[0] = 285; hidden_layer_sizes[1] = 123; hidden_layer_sizes[2] = 251; learning_rate = adaptive; learning_rate_init = 0.224074210427; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.795 +- 0.154
19,mlp,_scale = True; activation = relu; alpha = 0.00542506698297; batch_size = auto; hidden_layer_sizes[0] = 176; hidden_layer_sizes[1] = 80; hidden_layer_sizes[2] = 106; learning_rate = adaptive; learning_rate_init = 0.0211862121565; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.714 +- 0.211
20,mlp,_scale = True; activation = relu; alpha = 0.00842941088502; batch_size = auto; hidden_layer_sizes[0] = 245; hidden_layer_sizes[1] = 215; hidden_layer_sizes[2] = 215; learning_rate = adaptive; learning_rate_init = 0.841552109636; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.629 +- 0.098
21,mlp,_scale = True; activation = tanh; alpha = 0.00597255742769; batch_size = auto; hidden_layer_sizes[0] = 233; hidden_layer_sizes[1] = 118; learning_rate = constant; learning_rate_init = 0.931582061106; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.748 +- 0.310
